metric,CHCL,MANDU,MHNL,SHPC,USHEC
v,67102.85,117405.189,1233.07,117807.551,144697.8955
EPS Annualized,6.42,24.27,8.19,4.83,20.43
EPS TTM,6.63,11.49,4.27,4.88,14.61
GPM,81.34,90.19,52.47,75.54,88.05
Gross Profit,669997.57,519238.947,151625.541,235167.701,549336.8013
Impairment Charge,0,0,0,0,0
Interest Expense,0,138523.581,100146.456,22949.117,170496.4688
Inventories,94006.5,4723.485,0,31497.213,0
Long Term Debt,183979.64,2895618.859,2469107.712,121975.218,2989560.659
NIM,0,0,0,0,0
NPM,55.48,43.12,26.56,43.52,33.15
Net Profit,456995.1,248265.539,76743.926,135481.532,206841.8038
OPM,72.11,88.9,61.64,96.28,84.35
Operating Profit,593973.94,511819.864,178123.452,299705.863,526257.4294
P/E Annualized,77.17,35.02,34.07,109.5,24.82
Paid Up Capital,9484988.68,1363637,1250000,3737993.71,1350000
Profit Before Tax,629678.46,255891.094,76743.926,162155.024,211063.0651
"Property, Plant and Equipment",2169658.66,732.985,15648.33,22022.139,4357454.272
Reserves & Surplus,1992273.37,810668.957,-790907.706,1248162.901,255803.0491
Revenue,823664.77,575660.806,288943.128,311275.475,623873.4424
Shareholders Equity,11477262.05,2174305.957,459092.294,4986156.611,1605803.049
Sources of Fund,11788534.66,5069924.816,2928200.006,5111353.432,4595363.708
Total Assets,11918749.91,5294473.497,3527608.57,5418007.895,4847388.139
Total Current Assets,2865859.37,488730.041,136107.936,582088.271,445359.2671
Total Current Liabilities,130215.24,224548.681,599408.565,306654.462,252024.4304
Total Liabilities,441487.85,3120167.54,3068516.277,431851.283,3241585.089
Cash and Cash Equivalent,111458.26,3771.68,622.86,234925.98,117823.68
Market Capitalization,45243396,11222732.51,3125000,18536710.81,6632550
